stock price_per_cat
0 3.13
0 3.59
0 7.8
1 1.43
1 2.77
1 3.65
2 1.17
2 1.91
2 2.11
3 0.92
3 1.38
3 2.17
4 1.76
4 2.99
4 3.78
5 1.25
5 2.63
5 3.7
6 1.34
6 1.34
6 1.34
7 0.35
7 1.94
7 1.94
8 1.01
8 1.01
8 1.09
9 0.96
9 1.3
9 1.3
10 0.22
10 1.19
10 3.23
11 0.47
11 1.21
11 2.37
12 0.71
12 0.92
12 1.93
13 0.19
13 0.43
13 0.59
14 0.38
14 0.53
14 0.44
15 0.12
15 0.43
15 1.03
16 0.49
16 0.8
16 1.71
17 0.64
17 0.64
17 0.75
18 2.94
18 3.23
18 7.35
19 1.45
19 1.7
19 1.92
20 2.85
20 4.54
20 5.85
21 2.51
21 4.38
21 4.6
22 0.34
22 0.34
22 0.34
23 0.19
23 0.28
23 0.31
24 4.24
24 5.97
24 11.02
25 0.63
25 4.89
25 8.87
26 0.21
26 0.21
26 0.21
27 1.13
27 1.3
27 1.3
28 0.67
28 1
28 1.09
29 1.03
29 1.35
29 1.6
30 1.17
30 1.68
30 1.69
31 2.22
31 3
31 3.59
32 10.66
32 10.66
32 10.66
33 0.23
33 0.23
33 0.23
34 7.26
34 8.88
34 13.4
35 7.31
35 9.95
35 15.13
36 0.44
36 0.44
36 0.44
37 0.23
37 0.23
37 0.23
38 5.34
38 5.34
38 7.23
39 5.52
39 8.33
39 11.25
40 5.64
40 5.8
40 11.69
41 0.71
41 0.76
41 1.19
42 0.59
42 0.64
42 0.79
43 0.73
43 0.92
43 1.29
44 0.8
44 2.8
44 4.47
