pt_graph avai
1 0.0000194
1 0.0000194
1 0.00003155
1 0.00010109
1 0.0000699
1 0.00008465
1 0.00006714
1 0.00006899
1 0.0000747
1 0.00007724
1 0.00008098
1 0.00008763
1 0.0000973
1 0.00007661
2 0.0000221
2 0.0000221
2 0.00003118
2 0.00010121
2 0.00006715
2 0.00008343
2 0.0000643
2 0.00005997
2 0.00007438
2 0.00007558
2 0.00007279
2 0.0000713
2 0.00009162
2 0.00007915
3 0.00002853
3 0.00002853
3 0.00003698
3 0.00009728
3 0.00006304
3 0.00009155
3 0.00006297
3 0.00005995
3 0.00007348
3 0.00006679
3 0.00007119
3 0.00005711
3 0.00007621
3 0.00008271
4 0.00003525
4 0.00003525
4 0.00003868
4 0.0000956
4 0.00006238
4 0.00009919
4 0.0000644
4 0.00005638
4 0.00006793
4 0.00006094
4 0.00007676
4 0.00004632
4 0.00006645
4 0.00008818
5 0.00004227
5 0.00004227
5 0.00003631
5 0.00009617
5 0.00006517
5 0.00010634
5 0.00006858
5 0.00004927
5 0.00005775
5 0.00005803
5 0.00008951
5 0.00003892
5 0.00006234
5 0.00009556
6 0.00004501
6 0.00004501
6 0.00003466
6 0.00009619
6 0.00007121
6 0.00010357
6 0.00007316
6 0.00004396
6 0.00005274
6 0.00005119
6 0.00009259
6 0.00003696
6 0.00005964
6 0.00009848
7 0.00004349
7 0.00004349
7 0.00003373
7 0.00009565
7 0.00008049
7 0.00009087
7 0.00007813
7 0.00004044
7 0.0000529
7 0.00004039
7 0.00008601
7 0.00004043
7 0.00005835
7 0.00009691
8 0.00004465
8 0.00004465
8 0.00003485
8 0.00009627
8 0.00008438
8 0.00007949
8 0.00007908
8 0.00004178
8 0.00004782
8 0.00003109
8 0.00008852
8 0.00005937
8 0.00005602
8 0.00009564
9 0.00004848
9 0.00004848
9 0.00003802
9 0.00009804
9 0.00008288
9 0.00006943
9 0.00007599
9 0.00004798
9 0.00003751
9 0.00002328
9 0.00010012
9 0.00009378
9 0.00005266
9 0.00009467
10 0.00002969
10 0.00002969
10 0.00003853
10 0.00009955
10 0.00006783
10 0.00008805
10 0.00006338
10 0.00005396
10 0.00005132
10 0.0000563
10 0.00008235
10 0.00006204
10 0.00006514
10 0.00009067
11 0.00003519
11 0.00003519
11 0.00004043
11 0.00009874
11 0.00006919
11 0.00009327
11 0.0000624
11 0.00004972
11 0.00004384
11 0.00004785
11 0.00008898
11 0.00005372
11 0.00004998
11 0.00009589
12 0.000039
12 0.000039
12 0.00003739
12 0.00009952
12 0.00007282
12 0.00009792
12 0.00006151
12 0.00004526
12 0.00004456
12 0.00004674
12 0.00009641
12 0.00004798
12 0.00004247
12 0.00009747
13 0.000039
13 0.000039
13 0.00003739
13 0.00009952
13 0.00007282
13 0.00009792
13 0.00006151
13 0.00004526
13 0.00004456
13 0.00004674
13 0.00009641
13 0.00004798
13 0.00004247
13 0.00009747
14 0.00004189
14 0.00004189
14 0.00003564
14 0.00009895
14 0.00007694
14 0.0000972
14 0.00006266
14 0.00004189
14 0.00004413
14 0.00004297
14 0.00009965
14 0.00004762
14 0.00004294
14 0.00009831
15 0.00004386
15 0.00004386
15 0.00003517
15 0.00009703
15 0.00008153
15 0.00009111
15 0.00006585
15 0.00003961
15 0.00004257
15 0.00003655
15 0.0000987
15 0.00005263
15 0.00005138
15 0.00009843
16 0.00004623
16 0.00004623
16 0.00003611
16 0.00009678
16 0.0000834
16 0.00008215
16 0.00006919
16 0.00004163
16 0.00003944
16 0.00002985
16 0.00010015
16 0.0000691
16 0.00005445
16 0.00009741
17 0.00004901
17 0.00004901
17 0.00003844
17 0.00009821
17 0.00008255
17 0.00007031
17 0.0000727
17 0.00004793
17 0.00003472
17 0.00002286
17 0.000104
17 0.00009702
17 0.00005214
17 0.00009526
18 0.00005093
18 0.00005093
18 0.00003971
18 0.00009984
18 0.00008743
18 0.00006627
18 0.00006785
18 0.00004773
18 0.00003172
18 0.0000256
18 0.00010527
18 0.00010706
18 0.000049
18 0.00009742
19 0.00005201
19 0.00005201
19 0.00003992
19 0.00010166
19 0.00009804
19 0.00007002
19 0.00005465
19 0.00004103
19 0.00003044
19 0.00003806
19 0.00010396
19 0.00009922
19 0.00004502
19 0.0001039
20 0.00005153
20 0.00005153
20 0.00004221
20 0.00010204
20 0.00009963
20 0.00006823
20 0.000056
20 0.00004167
20 0.00002727
20 0.00004485
20 0.00009857
20 0.00009865
20 0.00004679
20 0.00011014
21 0.00002969
21 0.00002969
21 0.00003853
21 0.00009955
21 0.00006783
21 0.00008805
21 0.00006338
21 0.00005396
21 0.00005132
21 0.0000563
21 0.00008235
21 0.00006204
21 0.00006514
21 0.00009067
22 0.00003519
22 0.00003519
22 0.00004043
22 0.00009874
22 0.00006919
22 0.00009327
22 0.0000624
22 0.00004972
22 0.00004384
22 0.00004785
22 0.00008898
22 0.00005372
22 0.00004998
22 0.00009589
23 0.000039
23 0.000039
23 0.00003739
23 0.00009952
23 0.00007282
23 0.00009792
23 0.00006151
23 0.00004526
23 0.00004456
23 0.00004674
23 0.00009641
23 0.00004798
23 0.00004247
23 0.00009747
24 0.00004189
24 0.00004189
24 0.00003564
24 0.00009895
24 0.00007694
24 0.0000972
24 0.00006266
24 0.00004189
24 0.00004413
24 0.00004297
24 0.00009965
24 0.00004762
24 0.00004294
24 0.00009831
25 0.00004386
25 0.00004386
25 0.00003517
25 0.00009703
25 0.00008153
25 0.00009111
25 0.00006585
25 0.00003961
25 0.00004257
25 0.00003655
25 0.0000987
25 0.00005263
25 0.00005138
25 0.00009843
26 0.00004623
26 0.00004623
26 0.00003611
26 0.00009678
26 0.0000834
26 0.00008215
26 0.00006919
26 0.00004163
26 0.00003944
26 0.00002985
26 0.00010015
26 0.0000691
26 0.00005445
26 0.00009741
27 0.00004901
27 0.00004901
27 0.00003844
27 0.00009821
27 0.00008255
27 0.00007031
27 0.0000727
27 0.00004793
27 0.00003472
27 0.00002286
27 0.000104
27 0.00009702
27 0.00005214
27 0.00009526
28 0.00004901
28 0.00004901
28 0.00003844
28 0.00009821
28 0.00008255
28 0.00007031
