vid percent
BEL000021964 100
BEL000021964 100
BEL000021964 100
BEL000021964 100
BEL000021964 100
BEL000021964 100
BEL000021964 100
BEL000021964 100
BEL000021964 100
BEL000021964 100
BEL000021964 100
BEL000021964 100
BEL000021964 100
BEL000021964 100
BEL000021964 100
BEL000021964 100
BEL000021964 100
BEL000021964 100
BEL000021964 100
BEL000021964 100
BEL000021964 100
BEL000021964 100
BEL000021964 100
BEL000021964 100
BEL000021964 100
BEL000021964 100
BEL000021964 100
BEL000021964 100
BEL000021964 100
BEL000021964 100
BEL000021964 100
BEL000021964 100
BEL000021964 100
BEL000021964 100
BEL000021964 100
BEL000021964 100
BEL000021964 100
BEL000021964 100
BEL000021964 100
BEL000041982 100
BEL000041982 100
BEL000041982 100
BEL000041982 100
BEL000041982 100
BEL000041982 100
BEL000041982 100
BEL000041982 100
BEL000041982 100
BEL000041982 100
BEL000041982 100
BEL000041982 100
BEL000041982 100
BEL000041982 100
BEL000041982 100
BEL000041982 100
BEL000041982 100
BEL000041982 100
BEL000041982 100
BEL000041982 100
BEL000041982 100
BEL000041982 100
BEL000041982 100
BEL000041982 100
BEL000041982 100
BEL000041982 100
BEL000041982 100
BEL000041982 100
BEL000041982 100
BEL000041982 100
BEL000041982 100
BEL000041982 100
BEL000041982 100
BEL000041982 100
BEL000041982 100
BEL000041982 100
BEL000041982 100
BEL000041982 100
BEL000041982 100
BEL000071985 100
BEL000071985 100
BEL000071985 100
BEL000071985 100
BEL000071985 100
BEL000071985 100
BEL000071985 100
BEL000071985 100
BEL000071985 100
BEL000071985 100
BEL000071985 100
BEL000071985 100
BEL000071985 100
BEL000071985 100
BEL000071985 100
BEL000071985 100
BEL000071985 100
BEL000071985 100
BEL000071985 100
BEL000071985 100
BEL000071985 100
BEL000071985 100
BEL000071985 100
BEL000071985 100
BEL000071985 100
BEL000071985 100
BEL000071985 100
BEL000071985 100
BEL000071985 100
BEL000071985 100
BEL000071985 100
BEL000071985 100
BEL000071985 100
BEL000071985 100
BEL000071985 100
BEL000071985 100
BEL000071985 100
BEL000071985 100
BEL000071985 100
BEL000081967 100
BEL000081967 100
BEL000081967 100
BEL000081967 100
BEL000081967 100
BEL000081967 100
BEL000081967 100
BEL000081967 100
BEL000081967 100
BEL000081967 100
BEL000081967 100
BEL000081967 100
BEL000081967 100
BEL000081967 100
BEL000081967 100
BEL000081967 100
BEL000081967 100
BEL000081967 100
BEL000081967 100
BEL000081967 100
BEL000081967 100
BEL000081967 100
BEL000081967 100
BEL000081967 100
BEL000081967 100
BEL000081967 100
BEL000081967 100
BEL000081967 100
BEL000081967 100
BEL000081967 100
BEL000081967 100
BEL000081967 100
BEL000081967 100
BEL000081967 100
BEL000081967 100
BEL000081967 100
BEL000081967 100
BEL000081967 100
BEL000081967 100
BEL000131989 100
BEL000131989 100
BEL000131989 100
BEL000131989 100
BEL000131989 100
BEL000131989 100
BEL000131989 100
BEL000131989 100
BEL000131989 100
BEL000131989 100
BEL000131989 100
BEL000131989 100
BEL000131989 100
BEL000131989 100
BEL000131989 100
BEL000131989 100
BEL000131989 100
BEL000131989 100
BEL000131989 100
BEL000131989 100
BEL000131989 100
BEL000131989 100
BEL000131989 100
BEL000131989 100
BEL000131989 100
BEL000131989 100
BEL000131989 100
BEL000131989 100
BEL000131989 100
BEL000131989 100
BEL000131989 100
BEL000131989 100
BEL000131989 100
BEL000131989 100
BEL000131989 100
BEL000131989 100
BEL000131989 100
BEL000131989 100
BEL000131989 100
BEL010291967 100
BEL010291967 100
BEL010291967 100
BEL010291967 100
BEL010291967 100
BEL010291967 100
BEL010291967 100
BEL010291967 100
BEL010291967 100
BEL010291967 100
BEL010291967 100
BEL010291967 100
BEL010291967 100
BEL010291967 100
BEL010291967 100
BEL010291967 100
BEL010291967 100
BEL010291967 100
BEL010291967 100
BEL010291967 100
BEL010291967 100
BEL010291967 100
BEL010291967 100
BEL010291967 100
BEL010291967 100
BEL010291967 100
BEL010291967 100
BEL010291967 100
BEL010291967 100
BEL010291967 100
BEL010291967 100
BEL010291967 100
BEL010291967 100
BEL010291967 100
BEL010291967 100
BEL010291967 100
BEL010291967 100
BEL010291967 100
BEL010291967 100
BEL010331976 100
BEL010331976 100
BEL010331976 100
BEL010331976 100
BEL010331976 100
BEL010331976 100
BEL010331976 100
BEL010331976 100
BEL010331976 100
BEL010331976 100
BEL010331976 100
BEL010331976 100
BEL010331976 100
BEL010331976 100
BEL010331976 100
BEL010331976 100
BEL010331976 100
BEL010331976 100
BEL010331976 100
BEL010331976 100
BEL010331976 100
BEL010331976 100
BEL010331976 100
BEL010331976 100
BEL010331976 100
