VE_REF beta.VE_REF
BEL000021964 5.34468682456296
BEL000021964 5.34468682456296
BEL000021964 5.34468682456296
BEL000021964 5.34468682456296
BEL000021964 4.33079224666867
BEL000021964 2.11767053444141
BEL000021964 2.11767053444141
BEL000021964 3.15360710571576
BEL000021964 3.15360710571576
BEL000021964 -1.00309263537035
BEL000021964 -1.5188623625331
BEL000021964 -1.5188623625331
BEL000021964 -1.5188623625331
BEL000021964 -3.59504274210621
BEL000021964 -1.74574573589419
BEL000021964 -2.61322584098033
BEL000021964 -1.81477623885348
BEL000021964 -4.60517018598809
BEL000021964 -4.60517018598809
BEL000021964 -4.60517018598809
BEL000021964 -1.77004494426157
BEL000021964 -1.77004494426157
BEL000021964 -4.60517018598809
BEL000021964 2.65429569193051
BEL000021964 2.65429569193051
BEL000021964 2.65429569193051
BEL000021964 2.07069703577064
BEL000021964 -4.60517018598809
BEL000021964 -4.60517018598809
BEL000021964 -4.60517018598809
BEL000021964 -0.910015979778145
BEL000021964 -0.910015979778145
BEL000021964 -4.60517018598809
BEL000021964 -4.60517018598809
BEL000021964 -4.60517018598809
BEL000021964 -0.593681091079338
BEL000021964 2.93839504396463
BEL000021964 2.93839504396463
BEL000021964 2.93839504396463
BEL000041982 5.39614863489868
BEL000041982 5.39614863489868
BEL000041982 5.39614863489868
BEL000041982 5.39614863489868
BEL000041982 -4.60517018598809
BEL000041982 2.19022563448008
BEL000041982 2.19022563448008
BEL000041982 3.23139830759603
BEL000041982 3.23139830759603
BEL000041982 -1.52457067273463
BEL000041982 -1.73580448390016
BEL000041982 -1.73580448390016
BEL000041982 -1.73580448390016
BEL000041982 -3.91182261637923
BEL000041982 -1.74574573589419
BEL000041982 -2.1671418656314
BEL000041982 -1.77566031167958
BEL000041982 -4.35874008035364
BEL000041982 -4.60517018598809
BEL000041982 -4.60517018598809
BEL000041982 -2.37274007342793
BEL000041982 -2.37274007342793
BEL000041982 -4.60517018598809
BEL000041982 2.82555005717352
BEL000041982 2.82555005717352
BEL000041982 2.82555005717352
BEL000041982 1.4409797683662
BEL000041982 -4.60517018598809
BEL000041982 -4.60517018598809
BEL000041982 -4.60517018598809
BEL000041982 -0.240011457095137
BEL000041982 -0.240011457095137
BEL000041982 -4.60517018598809
BEL000041982 -4.60517018598809
BEL000041982 -4.60517018598809
BEL000041982 -0.107569558183104
BEL000041982 2.25739108249181
BEL000041982 2.25739108249181
BEL000041982 2.25739108249181
BEL000071985 -0.139605238235984
BEL000071985 -0.139605238235984
BEL000071985 -0.139605238235984
BEL000071985 -0.139605238235984
BEL000071985 4.33079224666867
BEL000071985 -1.1524709591646
BEL000071985 -1.1524709591646
BEL000071985 -0.859631549658536
BEL000071985 -0.859631549658536
BEL000071985 -4.60517018598809
BEL000071985 -4.60517018598809
BEL000071985 -4.60517018598809
BEL000071985 -4.60517018598809
BEL000071985 -4.60517018598809
BEL000071985 -4.60517018598809
BEL000071985 -4.13703397091715
BEL000071985 -4.60517018598809
BEL000071985 -4.60517018598809
BEL000071985 -4.60517018598809
BEL000071985 -4.60517018598809
BEL000071985 -4.60517018598809
BEL000071985 -4.60517018598809
BEL000071985 -4.60517018598809
BEL000071985 -3.57464909244763
BEL000071985 -3.57464909244763
BEL000071985 -3.57464909244763
BEL000071985 -4.60517018598809
BEL000071985 -4.60517018598809
BEL000071985 -4.60517018598809
BEL000071985 -4.60517018598809
BEL000071985 -4.13703397091715
BEL000071985 -4.13703397091715
BEL000071985 -4.60517018598809
BEL000071985 -4.60517018598809
BEL000071985 -4.60517018598809
BEL000071985 -2.81245441946998
BEL000071985 -4.60517018598809
BEL000071985 -4.60517018598809
BEL000071985 -4.60517018598809
BEL000081967 5.34468682456296
BEL000081967 5.34468682456296
BEL000081967 5.34468682456296
BEL000081967 5.34468682456296
BEL000081967 4.33079224666867
BEL000081967 2.11767053444141
BEL000081967 2.11767053444141
BEL000081967 3.15360710571576
BEL000081967 3.15360710571576
BEL000081967 -1.00309263537035
BEL000081967 -1.5188623625331
BEL000081967 -1.5188623625331
BEL000081967 -1.5188623625331
BEL000081967 -3.59504274210621
BEL000081967 -1.74574573589419
BEL000081967 -2.61322584098033
BEL000081967 -1.81477623885348
BEL000081967 -4.60517018598809
BEL000081967 -4.60517018598809
BEL000081967 -4.60517018598809
BEL000081967 -1.77004494426157
BEL000081967 -1.77004494426157
BEL000081967 -4.60517018598809
BEL000081967 2.65429569193051
BEL000081967 2.65429569193051
BEL000081967 2.65429569193051
BEL000081967 2.07069703577064
BEL000081967 -4.60517018598809
BEL000081967 -4.60517018598809
BEL000081967 -4.60517018598809
BEL000081967 -0.910015979778145
BEL000081967 -0.910015979778145
BEL000081967 -4.60517018598809
BEL000081967 -4.60517018598809
BEL000081967 -4.60517018598809
BEL000081967 -0.593681091079338
BEL000081967 2.93839504396463
BEL000081967 2.93839504396463
BEL000081967 2.93839504396463
BEL000131989 5.34468682456296
BEL000131989 5.34468682456296
BEL000131989 5.34468682456296
BEL000131989 5.34468682456296
BEL000131989 4.33079224666867
BEL000131989 2.11767053444141
BEL000131989 2.11767053444141
BEL000131989 3.15360710571576
BEL000131989 3.15360710571576
BEL000131989 -1.00309263537035
BEL000131989 -1.5188623625331
BEL000131989 -1.5188623625331
BEL000131989 -1.5188623625331
BEL000131989 -3.59504274210621
BEL000131989 -1.74574573589419
BEL000131989 -2.61322584098033
BEL000131989 -1.81477623885348
BEL000131989 -4.60517018598809
BEL000131989 -4.60517018598809
BEL000131989 -4.60517018598809
BEL000131989 -1.77004494426157
BEL000131989 -1.77004494426157
BEL000131989 -4.60517018598809
BEL000131989 2.65429569193051
BEL000131989 2.65429569193051
BEL000131989 2.65429569193051
BEL000131989 2.07069703577064
BEL000131989 -4.60517018598809
BEL000131989 -4.60517018598809
BEL000131989 -4.60517018598809
BEL000131989 -0.910015979778145
BEL000131989 -0.910015979778145
BEL000131989 -4.60517018598809
BEL000131989 -4.60517018598809
BEL000131989 -4.60517018598809
BEL000131989 -0.593681091079338
BEL000131989 2.93839504396463
BEL000131989 2.93839504396463
BEL000131989 2.93839504396463
BEL010291967 5.34468682456296
BEL010291967 5.34468682456296
BEL010291967 5.34468682456296
BEL010291967 5.34468682456296
BEL010291967 4.33079224666867
BEL010291967 2.11767053444141
BEL010291967 2.11767053444141
BEL010291967 3.15360710571576
BEL010291967 3.15360710571576
BEL010291967 -1.00309263537035
BEL010291967 -1.5188623625331
BEL010291967 -1.5188623625331
BEL010291967 -1.5188623625331
BEL010291967 -3.59504274210621
BEL010291967 -1.74574573589419
BEL010291967 -2.61322584098033
BEL010291967 -1.81477623885348
BEL010291967 -4.60517018598809
BEL010291967 -4.60517018598809
BEL010291967 -4.60517018598809
BEL010291967 -1.77004494426157
BEL010291967 -1.77004494426157
BEL010291967 -4.60517018598809
BEL010291967 2.65429569193051
BEL010291967 2.65429569193051
BEL010291967 2.65429569193051
BEL010291967 2.07069703577064
BEL010291967 -4.60517018598809
BEL010291967 -4.60517018598809
BEL010291967 -4.60517018598809
BEL010291967 -0.910015979778145
BEL010291967 -0.910015979778145
BEL010291967 -4.60517018598809
BEL010291967 -4.60517018598809
BEL010291967 -4.60517018598809
BEL010291967 -0.593681091079338
BEL010291967 2.93839504396463
BEL010291967 2.93839504396463
BEL010291967 2.93839504396463
BEL010331976 5.34468682456296
BEL010331976 5.34468682456296
BEL010331976 5.34468682456296
BEL010331976 5.34468682456296
BEL010331976 4.33079224666867
BEL010331976 2.11767053444141
BEL010331976 2.11767053444141
BEL010331976 3.15360710571576
BEL010331976 3.15360710571576
BEL010331976 -1.00309263537035
BEL010331976 -1.5188623625331
BEL010331976 -1.5188623625331
BEL010331976 -1.5188623625331
BEL010331976 -3.59504274210621
BEL010331976 -1.74574573589419
BEL010331976 -2.61322584098033
BEL010331976 -1.81477623885348
BEL010331976 -4.60517018598809
BEL010331976 -4.60517018598809
BEL010331976 -4.60517018598809
BEL010331976 -1.77004494426157
BEL010331976 -1.77004494426157
BEL010331976 -4.60517018598809
BEL010331976 2.65429569193051
BEL010331976 2.65429569193051
BEL010331976 2.65429569193051
BEL010331976 2.07069703577064
BEL010331976 -4.60517018598809
BEL010331976 -4.60517018598809
BEL010331976 -4.60517018598809
BEL010331976 -0.910015979778145
BEL010331976 -0.910015979778145
BEL010331976 -4.60517018598809
BEL010331976 -4.60517018598809
BEL010331976 -4.60517018598809
BEL010331976 -0.593681091079338
BEL010331976 2.93839504396463
BEL010331976 2.93839504396463
BEL010331976 2.93839504396463
BEL010511983 5.34468682456296
BEL010511983 5.34468682456296
BEL010511983 5.34468682456296
BEL010511983 5.34468682456296
BEL010511983 4.33079224666867
BEL010511983 2.11767053444141
BEL010511983 2.11767053444141
BEL010511983 3.15360710571576
BEL010511983 3.15360710571576
BEL010511983 -1.00309263537035
BEL010511983 -1.5188623625331
BEL010511983 -1.5188623625331
BEL010511983 -1.5188623625331
BEL010511983 -3.59504274210621
BEL010511983 -1.74574573589419
BEL010511983 -2.61322584098033
BEL010511983 -1.81477623885348
BEL010511983 -4.60517018598809
BEL010511983 -4.60517018598809
BEL010511983 -4.60517018598809
BEL010511983 -1.77004494426157
BEL010511983 -1.77004494426157
BEL010511983 -4.60517018598809
BEL010511983 2.65429569193051
BEL010511983 2.65429569193051
BEL010511983 2.65429569193051
BEL010511983 2.07069703577064
BEL010511983 -4.60517018598809
BEL010511983 -4.60517018598809
BEL010511983 -4.60517018598809
BEL010511983 -0.910015979778145
BEL010511983 -0.910015979778145
BEL010511983 -4.60517018598809
BEL010511983 -4.60517018598809
BEL010511983 -4.60517018598809
BEL010511983 -0.593681091079338
BEL010511983 2.93839504396463
BEL010511983 2.93839504396463
BEL010511983 2.93839504396463
BEL010621963 5.34468682456296
BEL010621963 5.34468682456296
BEL010621963 5.34468682456296
BEL010621963 5.34468682456296
BEL010621963 4.33079224666867
BEL010621963 2.11767053444141
BEL010621963 2.11767053444141
BEL010621963 3.15360710571576
BEL010621963 3.15360710571576
BEL010621963 -1.00309263537035
BEL010621963 -1.5188623625331
BEL010621963 -1.5188623625331
