idx name
0 GND
1 GNS
2 GTN
3 GTR
4 LHM
5 LHP
6 LLD
7 LLS
8 LTL
9 OT_CRU
10 OT_DEM_PEL
11 OT_DMF
12 OT_DMF_PEL
13 OT_MIX_NEP
14 OT_SPF
15 OTB
16 OTM
17 OTT
18 PTM
19 SB
20 SDN
21 SDN_DEM
22 SSC
23 SSC_DEM
24 TBB_CRU
25 TBB_DMF
