landscape loss_after_one_passage
0 -0.47
0 -0.47
0 -0.47
0 -0.47
31 -0.47
31 -0.47
31 -0.47
31 -0.47
32 -0.47
32 -0.47
32 -0.47
32 -0.47
33 -0.47
33 -0.47
33 -0.47
33 -0.47
41 -0.47
41 -0.47
41 -0.47
41 -0.47
42 -0.47
42 -0.47
42 -0.47
42 -0.47
43 -0.47
43 -0.47
43 -0.47
43 -0.47
51 -0.47
51 -0.47
51 -0.47
51 -0.47
52 -0.47
52 -0.47
52 -0.47
52 -0.47
53 -0.63
53 -0.63
53 -0.63
53 -0.63
54 -0.47
54 -0.47
54 -0.47
54 -0.47
61 -0.47
61 -0.47
61 -0.47
61 -0.47
62 -0.47
62 -0.47
62 -0.47
62 -0.47
63 -0.47
63 -0.47
63 -0.47
63 -0.47
65 -0.47
65 -0.47
65 -0.47
65 -0.47
