LE_MET_level6 model_type
0 1
1 1
2 0
3 0
4 0
5 0
6 0
7 1
8 0
9 0
10 0
11 0
12 0
13 1
14 1
15 1
16 0
17 1
18 1
19 0
20 0
21 0
22 0
23 1
