landscape loss_after_one_passage
0 -1.80769230769231
0 -1.80769230769231
0 -1.80769230769231
0 -1.80769230769231
31 -1.80769230769231
31 -1.80769230769231
31 -1.80769230769231
31 -1.80769230769231
32 -1.80769230769231
32 -1.80769230769231
32 -1.80769230769231
32 -1.80769230769231
33 -1.80769230769231
33 -1.80769230769231
33 -1.80769230769231
33 -1.80769230769231
41 -1.80769230769231
41 -1.80769230769231
41 -1.80769230769231
41 -1.80769230769231
42 -1.80769230769231
42 -1.80769230769231
42 -1.80769230769231
42 -1.80769230769231
43 -1.80769230769231
43 -1.80769230769231
43 -1.80769230769231
43 -1.80769230769231
51 -1.80769230769231
51 -1.80769230769231
51 -1.80769230769231
51 -1.80769230769231
52 -1.80769230769231
52 -1.80769230769231
52 -1.80769230769231
52 -1.80769230769231
53 -2.42307692307692
53 -2.42307692307692
53 -2.42307692307692
53 -2.42307692307692
54 -1.80769230769231
54 -1.80769230769231
54 -1.80769230769231
54 -1.80769230769231
61 -1.80769230769231
61 -1.80769230769231
61 -1.80769230769231
61 -1.80769230769231
62 -1.80769230769231
62 -1.80769230769231
62 -1.80769230769231
62 -1.80769230769231
63 -1.80769230769231
63 -1.80769230769231
63 -1.80769230769231
63 -1.80769230769231
65 -1.80769230769231
65 -1.80769230769231
65 -1.80769230769231
65 -1.80769230769231
