landscape loss_after_one_passage
0 -1.08461538461538
0 -1.08461538461538
0 -1.08461538461538
0 -1.08461538461538
31 -1.08461538461538
31 -1.08461538461538
31 -1.08461538461538
31 -1.08461538461538
32 -1.08461538461538
32 -1.08461538461538
32 -1.08461538461538
32 -1.08461538461538
33 -1.08461538461538
33 -1.08461538461538
33 -1.08461538461538
33 -1.08461538461538
41 -1.08461538461538
41 -1.08461538461538
41 -1.08461538461538
41 -1.08461538461538
42 -1.08461538461538
42 -1.08461538461538
42 -1.08461538461538
42 -1.08461538461538
43 -1.08461538461538
43 -1.08461538461538
43 -1.08461538461538
43 -1.08461538461538
51 -1.08461538461538
51 -1.08461538461538
51 -1.08461538461538
51 -1.08461538461538
52 -1.08461538461538
52 -1.08461538461538
52 -1.08461538461538
52 -1.08461538461538
53 -1.45384615384615
53 -1.45384615384615
53 -1.45384615384615
53 -1.45384615384615
54 -1.08461538461538
54 -1.08461538461538
54 -1.08461538461538
54 -1.08461538461538
61 -1.08461538461538
61 -1.08461538461538
61 -1.08461538461538
61 -1.08461538461538
62 -1.08461538461538
62 -1.08461538461538
62 -1.08461538461538
62 -1.08461538461538
63 -1.08461538461538
63 -1.08461538461538
63 -1.08461538461538
63 -1.08461538461538
65 -1.08461538461538
65 -1.08461538461538
65 -1.08461538461538
65 -1.08461538461538
