LE_MET_level6 param_a
0 0.3142
1 0.3142
2 9.605355
3 0.001
4 0.001
5 0.001
6 0.001
7 0.001
8 0.001
9 0.001
10 0.001
11 0.001
12 9.605355
13 9.605355
14 9.605355
15 9.605355
16 9.605355
17 4461.27
18 9.605355
19 0.001
20 9.605355
21 4461.27
22 0.001
23 0.001
24 4461.27
25 4461.27
26 4461.27
27 4461.27
28 9.605355
29 9.605355
30 9.605355
