landscape loss_after_one_passage
0 -1.33769230769231
0 -1.33769230769231
0 -1.33769230769231
0 -1.33769230769231
31 -1.33769230769231
31 -1.33769230769231
31 -1.33769230769231
31 -1.33769230769231
32 -1.33769230769231
32 -1.33769230769231
32 -1.33769230769231
32 -1.33769230769231
33 -1.33769230769231
33 -1.33769230769231
33 -1.33769230769231
33 -1.33769230769231
41 -1.33769230769231
41 -1.33769230769231
41 -1.33769230769231
41 -1.33769230769231
42 -1.33769230769231
42 -1.33769230769231
42 -1.33769230769231
42 -1.33769230769231
43 -1.33769230769231
43 -1.33769230769231
43 -1.33769230769231
43 -1.33769230769231
51 -1.33769230769231
51 -1.33769230769231
51 -1.33769230769231
51 -1.33769230769231
52 -1.33769230769231
52 -1.33769230769231
52 -1.33769230769231
52 -1.33769230769231
53 -1.79307692307692
53 -1.79307692307692
53 -1.79307692307692
53 -1.79307692307692
54 -1.33769230769231
54 -1.33769230769231
54 -1.33769230769231
54 -1.33769230769231
61 -1.33769230769231
61 -1.33769230769231
61 -1.33769230769231
61 -1.33769230769231
62 -1.33769230769231
62 -1.33769230769231
62 -1.33769230769231
62 -1.33769230769231
63 -1.33769230769231
63 -1.33769230769231
63 -1.33769230769231
63 -1.33769230769231
65 -1.33769230769231
65 -1.33769230769231
65 -1.33769230769231
65 -1.33769230769231
