landscape loss_after_one_passage
0 -2.53076923076923
0 -2.53076923076923
0 -2.53076923076923
0 -2.53076923076923
31 -2.53076923076923
31 -2.53076923076923
31 -2.53076923076923
31 -2.53076923076923
32 -2.53076923076923
32 -2.53076923076923
32 -2.53076923076923
32 -2.53076923076923
33 -2.53076923076923
33 -2.53076923076923
33 -2.53076923076923
33 -2.53076923076923
41 -2.53076923076923
41 -2.53076923076923
41 -2.53076923076923
41 -2.53076923076923
42 -2.53076923076923
42 -2.53076923076923
42 -2.53076923076923
42 -2.53076923076923
43 -2.53076923076923
43 -2.53076923076923
43 -2.53076923076923
43 -2.53076923076923
51 -2.53076923076923
51 -2.53076923076923
51 -2.53076923076923
51 -2.53076923076923
52 -2.53076923076923
52 -2.53076923076923
52 -2.53076923076923
52 -2.53076923076923
53 -3.39230769230769
53 -3.39230769230769
53 -3.39230769230769
53 -3.39230769230769
54 -2.53076923076923
54 -2.53076923076923
54 -2.53076923076923
54 -2.53076923076923
61 -2.53076923076923
61 -2.53076923076923
61 -2.53076923076923
61 -2.53076923076923
62 -2.53076923076923
62 -2.53076923076923
62 -2.53076923076923
62 -2.53076923076923
63 -2.53076923076923
63 -2.53076923076923
63 -2.53076923076923
63 -2.53076923076923
65 -2.53076923076923
65 -2.53076923076923
65 -2.53076923076923
65 -2.53076923076923
