stock  init_weight_per_szgroup
0 0.0001266451
0 0.004076539
0 0.02048018
0 0.05930595
0 0.1312184
0 0.2473941
0 0.4194203
0 0.6592298
0 0.9790549
0 1.391393
0 1.90898
0 2.544769
0 3.311913
0 4.223748
1 0.0001075924
1 0.003426547
1 0.01712959
1 0.04944177
1 0.1091269
1 0.2053435
1 0.3475661
1 0.5455342
1 0.8092168
1 1.148786
1 1.574596
1 2.097166
1 2.727169
1 3.475417
2 0.0001462341
2 0.003978365
2 0.01848339
2 0.05083631
2 0.1082332
2 0.1978848
2 0.327013
2 0.502849
2 0.7326316
2 1.023606
2 1.383025
2 1.818144
2 2.336224
2 2.944533
3 0.0001462341
3 0.003978365
3 0.01848339
3 0.05083631
3 0.1082332
3 0.1978848
3 0.327013
3 0.502849
3 0.7326316
3 1.023606
3 1.383025
3 1.818144
3 2.336224
3 2.944533
4 0.0006737554
4 0.01599716
4 0.06976423
4 0.1840433
4 0.3798249
4 0.6773878
4 1.096481
4 1.656431
4 2.376219
4 3.27453
4 4.369789
4 5.6802
4 7.22376
4 9.018286
5 0.00009444396
5 0.002906132
5 0.01429755
5 0.04083523
5 0.08942451
5 0.167216
5 0.2815552
5 0.4399495
5 0.6500464
5 0.9196163
5 1.25654
5 1.668796
5 2.164457
5 2.751679
6 0.00009444396
6 0.002906132
6 0.01429755
6 0.04083523
6 0.08942451
6 0.167216
6 0.2815552
6 0.4399495
6 0.6500464
6 0.9196163
6 1.25654
6 1.668796
6 2.164457
6 2.751679
7 0.0001229066
7 0.004044089
7 0.02052578
7 0.05983934
7 0.1330657
7 0.2518859
7 0.4284646
7 0.6753754
7 1.005548
7 1.432226
7 1.96894
7 2.629478
7 3.42787
7 4.378364
8 0.0002372698
8 0.006103978
8 0.02763108
8 0.07470546
8 0.1570303
8 0.2841838
8 0.4656494
8 0.7108342
8 1.029081
8 1.429678
8 1.921865
8 2.514838
8 3.217757
8 4.039744
9 0.0002093131
9 0.004672215
9 0.01979907
9 0.05125304
9 0.1042916
9 0.18391
9 0.2949114
9 0.4419481
9 0.6295489
9 0.8621387
9 1.144053
9 1.479547
9 1.872808
9 2.32796
10 0.0001023555
10 0.003052155
10 0.01479817
10 0.04186028
10 0.09101274
10 0.169212
10 0.2835578
10 0.4412691
10 0.6496665
10 0.9161598
10 1.248239
10 1.653464
10 2.139464
10 2.713924
11 0.00008306781
11 0.002473206
11 0.0119826
11 0.03387978
11 0.07363561
11 0.1368657
11 0.2292999
11 0.3567621
11 0.5251574
11 0.7404618
11 1.008714
11 1.336011
11 1.7285
11 2.192378
12 0.00009857631
12 0.002717701
12 0.01270466
12 0.03508517
12 0.07492568
12 0.137321
12 0.227388
12 0.3502612
12 0.5110906
12 0.7150389
12 0.9672809
12 1.273001
12 1.637395
12 2.065664
13 0.00008041072
13 0.002420543
13 0.01178751
13 0.0334405
13 0.07286374
13 0.1357031
13 0.2277322
13 0.3548303
13 0.522968
13 0.7381954
13 1.006634
13 1.334469
13 1.727945
13 2.193362
14 0.0001212192
14 0.002473257
14 0.01005181
14 0.02531428
14 0.05046231
14 0.08753754
14 0.1384669
14 0.2050888
14 0.2891703
14 0.392419
14 0.5164917
14 0.6630012
14 0.8335213
14 1.029591
15 0.0001028737
15 0.002820642
15 0.01315225
15 0.03626019
15 0.07733774
15 0.1415996
15 0.2342771
15 0.3606148
15 0.525869
15 0.7353056
15 0.9941994
15 1.307833
15 1.681496
15 2.120484
16 0.0000611426
16 0.002270245
16 0.01218864
16 0.03687368
16 0.08429499
16 0.163127
16 0.2826295
16 0.4525683
16 0.6831575
16 0.9850159
16 1.369132
16 1.846837
16 2.429778
16 3.129901
17 0.0002406523
17 0.006483352
17 0.02998487
17 0.08222313
17 0.1746663
17 0.3187758
17 0.5260079
17 0.8078145
17 1.175644
17 1.640943
17 2.215152
17 2.909713
17 3.736063
17 4.705639
18 0.0001583688
18 0.004345574
18 0.02027004
18 0.05589678
18 0.1192407
18 0.2183515
18 0.3613057
18 0.5562014
18 0.8111555
18 1.134301
18 1.533784
18 2.017765
18 2.594415
18 3.271916
19 0.0001583688
19 0.004345574
19 0.02027004
19 0.05589678
19 0.1192407
19 0.2183515
19 0.3613057
19 0.5562014
19 0.8111555
19 1.134301
19 1.533784
19 2.017765
19 2.594415
19 3.271916
20 0.0006737554
20 0.01599716
20 0.06976423
20 0.1840433
20 0.3798249
20 0.6773878
20 1.096481
20 1.656431
20 2.376219
20 3.27453
20 4.369789
20 5.6802
20 7.22376
20 9.018286
21 0.0006737554
21 0.01599716
21 0.06976423
21 0.1840433
21 0.3798249
21 0.6773878
21 1.096481
21 1.656431
21 2.376219
21 3.27453
21 4.369789
21 5.6802
21 7.22376
21 9.018286
22 0.00010625
22 0.00286875
22 0.01328125
22 0.03644375
22 0.07745625
22 0.1414187
22 0.2334312
22 0.3585937
22 0.5220063
22 0.7287687
22 0.9839812
22 1.292744
22 1.660156
22 2.091319
23 0.0001583688
23 0.004345574
23 0.02027004
23 0.05589678
23 0.1192407
23 0.2183515
23 0.3613057
23 0.5562014
23 0.8111555
23 1.134301
23 1.533784
23 2.017765
23 2.594415
23 3.271916
24 0.0001578125
24 0.004260937
24 0.01972656
24 0.05412969
24 0.1150453
24 0.2100484
24 0.3467141
24 0.5326172
24 0.7753328
24 1.082436
24 1.461502
24 1.920105
24 2.46582
24 3.106223
25 0.0001921875
25 0.005189063
25 0.02402344
25 0.06592031
25 0.1401047
25 0.2558016
25 0.4222359
25 0.6486328
25 0.9442172
25 1.318214
25 1.779848
25 2.338345
25 3.00293
25 3.782827
26 0.0001583839
26 0.004146822
26 0.01892561
26 0.05144491
26 0.1085725
26 0.1971197
26 0.3238551
26 0.4955121
26 0.7187953
26 1.000384
26 1.346935
26 1.765087
26 2.261459
26 2.842655
27 0.0000712411
27 0.003771983
27 0.02388412
27 0.08055079
27 0.1997141
27 0.4123655
27 0.7540635
27 1.264586
27 1.987662
27 2.970759
27 4.264901
27 5.924521
27 8.007332
27 10.57421
28 0.0000712411
28 0.003771983
28 0.02388412
28 0.08055079
28 0.1997141
28 0.4123655
28 0.7540635
28 1.264586
28 1.987662
28 2.970759
28 4.264901
28 5.924521
28 8.007332
28 10.57421
29 0.00002513866
29 0.000964683
29 0.005259234
29 0.01607191
29 0.03701922
29 0.07207187
29 0.1254972
29 0.2018204
29 0.3057965
29 0.4423887
29 0.6167514
29 0.834216
29 1.100279
29 1.420593
30 0.0000890625
30 0.002404688
30 0.01113281
30 0.03054844
30 0.06492656
30 0.1185422
30 0.1956703
30 0.3005859
30 0.4375641
30 0.6108797
30 0.8248078
30 1.083623
30 1.391602
30 1.753017
31 0.0001069555
31 0.003596631
31 0.01844028
31 0.05411878
31 0.1209452
31 0.2298538
31 0.3922828
31 0.6200977
31 0.9255369
31 1.321171
31 1.819871
31 2.434782
31 3.179302
31 4.067065
32 0.00005070617
32 0.002307051
32 0.01361387
32 0.04383051
32 0.1049672
32 0.2108145
32 0.3767159
32 0.6194096
32 0.9569094
32 1.408412
32 1.994219
32 2.735678
32 3.655126
32 4.775842
33 0.00005070617
33 0.002307051
33 0.01361387
33 0.04383051
33 0.1049672
33 0.2108145
33 0.3767159
33 0.6194096
33 0.9569094
33 1.408412
33 1.994219
33 2.735678
33 3.655126
33 4.775842
34 0.00007837015
34 0.002694518
34 0.01395835
34 0.04124453
34 0.09264278
34 0.1767808
34 0.302725
34 0.4799152
34 0.7181187
34 1.027395
34 1.418067
34 1.900703
34 2.486094
34 3.185239
35 0.0002848603
35 0.007862091
35 0.03677234
35 0.1015846
35 0.2169923
35 0.3977753
35 0.6587806
35 1.01491
35 1.481111
35 2.072372
35 2.803717
35 3.6902
35 4.746907
35 5.988946
36 0.0001299459
36 0.00323459
36 0.01441945
36 0.03859396
36 0.08051486
36 0.1448363
36 0.2361352
36 0.3589265
36 0.5176736
36 0.7167959
36 0.9606742
36 1.253655
36 1.600055
36 2.004162
37 0.0001299459
37 0.00323459
37 0.01441945
37 0.03859396
37 0.08051486
37 0.1448363
37 0.2361352
37 0.3589265
37 0.5176736
37 0.7167959
37 0.9606742
37 1.253655
37 1.600055
37 2.004162
38 0.0003721802
38 0.006334701
38 0.02366442
38 0.05637755
38 0.1078199
38 0.1809449
38 0.2784371
38 0.4027808
38 0.5563031
38 0.7412037
38 0.9595753
38 1.21342
38 1.50466
38 1.835151
