Country Percent
BEL 0
DEU 0.3
DNK 88.1
EST 0
ESP 0
FIN 0
FOI 0
FRA 0
GBR 0
GRE 0
IRL 0
ISL 0
LTU 0
LVA 0
NLD 0.1
NOR 0.8
POL 0
POR 0
RUS 0
SWE 10.7
