Country Percent
BEL 5
DEU 4.3
DNK 0.8
EST 0
ESP 0
FIN 0
FOI 0
FRA 0.5
GBR 82.3
GRE 0
IRL 0
ISL 0
LTU 0
LVA 0
NLD 6.4
NOR 0.8
POL 0
POR 0
RUS 0
SWE 0
