Country Percent
BEL 0
DEU 2
DNK 86.7
EST 0
ESP 0
FIN 0
FOI 0.5
FRA 0
GBR 0
GRE 0
IRL 0
ISL 0
LTU 0
LVA 0
NLD 1.2
NOR 5.4
POL 0
POR 0
RUS 0
SWE 4
