Country Percent
BEL 0.2
DEU 5.6
DNK 19.7
EST 0
ESP 0
FIN 0
FOI 0
FRA 15
GBR 41.5
GRE 0
IRL 0
ISL 0
LTU 0
LVA 0
NLD 0.5
NOR 17.6
POL 0
POR 0
RUS 0
SWE 0
