Country Percent
BEL 8.3
DEU 9.5
DNK 10.3
EST 0
ESP 0
FIN 0
FOI 0
FRA 0.8
GBR 11.4
GRE 0
IRL 0
ISL 0
LTU 0
LVA 0
NLD 59.3
NOR 0.5
POL 0
POR 0
RUS 0
SWE 0
