stock  init_proprecru_per_szgroup
0 0
0 0.00005
0 0.036575
0 0.303775
0 0.355875
0 0.276175
0 0.0275
0 0.00005
0 0
0 0
0 0
0 0
0 0
0 0
1 0
1 0
1 0
1 0
1 0.013625
1 0.277175
1 0.45585
1 0.246725
1 0.006625
1 0
1 0
1 0
1 0
1 0
2 0
2 0
2 0.0046
2 0.13405
2 0.2831
2 0.296575
2 0.23385
2 0.047375
2 0.00045
2 0
2 0
2 0
2 0
2 0
3 0
3 0
3 0.004475
3 0.132725
3 0.282625
3 0.29655
3 0.23585
3 0.047075
3 0.0007
3 0
3 0
3 0
3 0
3 0
4 1
4 0
4 0
4 0
4 0
4 0
4 0
4 0
4 0
4 0
4 0
4 0
4 0
4 0
5 0.83015
5 0.16985
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
6 0.6775
6 0.3225
6 0
6 0
6 0
6 0
6 0
6 0
6 0
6 0
6 0
6 0
6 0
6 0
7 0.8288
7 0.1712
7 0
7 0
7 0
7 0
7 0
7 0
7 0
7 0
7 0
7 0
7 0
7 0
8 0.623
8 0.376975
8 0.000025
8 0
8 0
8 0
8 0
8 0
8 0
8 0
8 0
8 0
8 0
8 0
9 0.48505
9 0.39145
9 0.1235
9 0
9 0
9 0
9 0
9 0
9 0
9 0
9 0
9 0
9 0
9 0
10 0.41615
10 0.3381
10 0.24575
10 0
10 0
10 0
10 0
10 0
10 0
10 0
10 0
10 0
10 0
10 0
11 0.67855
11 0.32145
11 0
11 0
11 0
11 0
11 0
11 0
11 0
11 0
11 0
11 0
11 0
11 0
12 0.000025
12 0.6406
12 0.359375
12 0
12 0
12 0
12 0
12 0
12 0
12 0
12 0
12 0
12 0
12 0
13 0.565375
13 0.42285
13 0.011775
13 0
13 0
13 0
13 0
13 0
13 0
13 0
13 0
13 0
13 0
13 0
14 0.7411
14 0.2589
14 0
14 0
14 0
14 0
14 0
14 0
14 0
14 0
14 0
14 0
14 0
14 0
15 0.518475
15 0.47085
15 0.010675
15 0
15 0
15 0
15 0
15 0
15 0
15 0
15 0
15 0
15 0
15 0
16 0.45715
16 0.3395
16 0.20335
16 0
16 0
16 0
16 0
16 0
16 0
16 0
16 0
16 0
16 0
16 0
17 0.3544
17 0.296275
17 0.28205
17 0.067275
17 0
17 0
17 0
17 0
17 0
17 0
17 0
17 0
17 0
17 0
18 1
18 0
18 0
18 0
18 0
18 0
18 0
18 0
18 0
18 0
18 0
18 0
18 0
18 0
19 1
19 0
19 0
19 0
19 0
19 0
19 0
19 0
19 0
19 0
19 0
19 0
19 0
19 0
20 1
20 0
20 0
20 0
20 0
20 0
20 0
20 0
20 0
20 0
20 0
20 0
20 0
20 0
21 1
21 0
21 0
21 0
21 0
21 0
21 0
21 0
21 0
21 0
21 0
21 0
21 0
21 0
22 0.498925
22 0.499325
22 0.00175
22 0
22 0
22 0
22 0
22 0
22 0
22 0
22 0
22 0
22 0
22 0
23 0.0257
23 0.831825
23 0.142475
23 0
23 0
23 0
23 0
23 0
23 0
23 0
23 0
23 0
23 0
23 0
24 0.659525
24 0.34045
24 0.000025
24 0
24 0
24 0
24 0
24 0
24 0
24 0
24 0
24 0
24 0
24 0
25 0.677175
25 0.322825
25 0
25 0
25 0
25 0
25 0
25 0
25 0
25 0
25 0
25 0
25 0
25 0
26 0
26 0.07495
26 0.4714
26 0.406575
26 0.047
26 0.000075
26 0
26 0
26 0
26 0
26 0
26 0
26 0
26 0
27 1
27 0
27 0
27 0
27 0
27 0
27 0
27 0
27 0
27 0
27 0
27 0
27 0
27 0
28 1
28 0
28 0
28 0
28 0
28 0
28 0
28 0
28 0
28 0
28 0
28 0
28 0
28 0
29 0.81885
29 0.18115
29 0
29 0
29 0
29 0
29 0
29 0
29 0
29 0
29 0
29 0
29 0
29 0
30 0
30 0.000075
30 0.300375
30 0.579975
30 0.119575
30 0
30 0
30 0
30 0
30 0
30 0
30 0
30 0
30 0
31 0
31 0
31 0.146675
31 0.456225
31 0.393275
31 0.003825
31 0
31 0
31 0
31 0
31 0
31 0
31 0
31 0
32 0.909125
32 0.090875
32 0
32 0
32 0
32 0
32 0
32 0
32 0
32 0
32 0
32 0
32 0
32 0
33 0.693925
33 0.306075
33 0
33 0
33 0
33 0
33 0
33 0
33 0
33 0
33 0
33 0
33 0
33 0
34 0.000025
34 0.999525
34 0.00045
34 0
34 0
34 0
34 0
34 0
34 0
34 0
34 0
34 0
34 0
34 0
35 0.8943
35 0.1057
35 0
35 0
35 0
35 0
35 0
35 0
35 0
35 0
35 0
35 0
35 0
35 0
36 0
36 0.155575
36 0.609775
36 0.234475
36 0.000175
36 0
36 0
36 0
36 0
36 0
36 0
36 0
36 0
36 0.0000000000000001110223
37 0
37 0.1549
37 0.611275
37 0.23375
37 0.000075
37 0
37 0
37 0
37 0
37 0
37 0
37 0
37 0
37 0
38 0.646975
38 0.3528
38 0.000225
38 0
38 0
38 0
38 0
38 0
38 0
38 0
38 0
38 0
38 0
38 0
