Country Percent
BEL 2.8
DEU 35.2
DNK 6
EST 0
ESP 0
FIN 0
FOI 0
FRA 0
GBR 2.2
GRE 0
IRL 0
ISL 0
LTU 0
LVA 0
NLD 53.8
NOR 0
POL 0
POR 0
RUS 0
SWE 0
