Country Percent
BEL 1.8
DEU 0
DNK 32.5
EST 0
ESP 0
FIN 0
FOI 0
FRA 0.9
GBR 30.3
GRE 0
IRL 0
ISL 0
LTU 0
LVA 0
NLD 23.8
NOR 9.7
POL 0
POR 0
RUS 0
SWE 1.1
