Country Percent
BEL 0
DEU 3.8
DNK 82.3
EST 0
ESP 0
FIN 0
FOI 0
FRA 0
GBR 0
GRE 0
IRL 0
ISL 0
LTU 0
LVA 0
NLD 9.8
NOR 0.6
POL 0
POR 0
RUS 0
SWE 3.5
