Country Percent
BEL 2.3
DEU 4.2
DNK 15.3
EST 0
ESP 0
FIN 0
FOI 0
FRA 1.6
GBR 59.1
GRE 0
IRL 0
ISL 0
LTU 0
LVA 0
NLD 1.4
NOR 15.4
POL 0
POR 0
RUS 0
SWE 0.8
