Country Percent
BEL 7.3
DEU 1.7
DNK 8.2
EST 0
ESP 0
FIN 0
FOI 0
FRA 0
GBR 1.3
GRE 0
IRL 0
ISL 0
LTU 0
LVA 0
NLD 81.5
NOR 0
POL 0
POR 0
RUS 0
SWE 0
