Country Percent
BEL 0.8
DEU 0.7
DNK 24.6
EST 0
ESP 0
FIN 0
FOI 0
FRA 0
GBR 55.9
GRE 0
IRL 0
ISL 0
LTU 0
LVA 0
NLD 5.3
NOR 12.6
POL 0
POR 0
RUS 0
SWE 0.1
