Country Percent
BEL 0
DEU 5.4
DNK 4.5
EST 0
ESP 0
FIN 0
FOI 0
FRA 0
GBR 0
GRE 0
IRL 0
ISL 0
LTU 0.7
LVA 0.8
NLD 0
NOR 0
POL 88
POR 0
RUS 0
SWE 0.6
