Country Percent
BEL 0.5
DEU 0.6
DNK 13.1
EST 0
ESP 0
FIN 0
FOI 0
FRA 5.9
GBR 68.9
GRE 0
IRL 0
ISL 0
LTU 0
LVA 0
NLD 4.4
NOR 6.6
POL 0
POR 0
RUS 0
SWE 0.1
