stock;Winf;k;Linf;K;t0;a;b;L50;alpha;beta;r_age;tac_tons;fbar_age_min;fbar_age_max;F_target;F_percent;TAC_percent;B_trigger;FMSY;fbar_assessment;ssb_assessment;mls_cat;mls;sz_bin_cm;unit_sizebin;CV_recru;mat;mat_cat;etha_m;kappa;q;n;fzeroest;species
BLL.nsea;8000;0;50.7;0.43;0;0.0112202;3;31.3;0;0;0;1e+05;0;0;2;10;15;0;2;0;0;6;32;5;1;0.3;31.3;6;0.25;2e+08;0.8;0.75;0.6;0
COD.kat;48000;0.216;105;0.13;-0.13;0.0093;3.0069;40;1.03;1.33e-05;1;525;3;5;2;10;30;1e+06;0.3;1.286;675;6;30;5;1;0.3;55;11;0.25;2e+08;0.8;0.75;0.6;0
COD.2224;15000;0.16;86.2;0.11;-0.13;0.0068;3.094;45;3.11;1.32e-05;1;7340;3;5;0.15;10;20;38400;0.26;0.523;15542;7;35;5;1;0.3;45;9;0.25;2e+08;0.8;0.75;0.6;0
COD.2532;15000;0.16;66;0.215;-0.803;0.0099;2.965;21;3.11;1.32e-05;2;24112;4;6;0.3;10;20;88200;0.2;0.117;84527;7;35;5;1;0.3;37;7;0.25;2e+08;0.8;0.75;0.6;0
COD.nsea;48000;0.216;150;0.216;-0.13;0.0081;3.05;54;3.53;2.9e-06;1;35300;2;4;0.31;10;30;1e+06;0.31;0.638;65581;7;35;5;1;0.3;54;10;0.25;2e+08;0.8;0.75;0.6;0
CSH.nsea;0;0;70.57;1.59;0;0;0;0;0;0;0;1e+05;0;0;2;10;15;1e+06;2;0;0;0;0;5;1;0.3;0;0;0.25;2e+08;0.8;0.75;0.6;0
DAB.nsea;4116.998867;0.341278;32;0.536;-0.34;0.00542;3.119;13;0;0;0;1e+05;2;4;2;10;15;1e+06;2;0;0;4;20;5;1;0.3;13;2;0.25;2e+08;0.8;0.75;0.6;0
DAB.2232;35388;0;30.64;0.34;-0.50455;0.00545;3.23;15;0;0;0;3069;2;4;2;10;15;1e+06;2;0;0;3;20;5;1;0.3;15;3;0.25;2e+08;0.8;0.75;0.6;0
FLE.2223;40637;0;33.2;0.14;0;0.00667;3.18;23;0;0;2;3650;2;4;2;10;15;1e+06;2;0;0;4;23;5;1;0.3;23;4;0.25;2e+08;0.8;0.75;0.6;0
FLE.2425;40637;0;38.5;0.25;0;0.01581;2.956;22;0;0;2;34690;2;4;2;10;15;1e+06;2;0;0;4;23;5;1;0.3;22;4;0.25;2e+08;0.8;0.75;0.6;0
