Country Percent
BEL 8.3
DEU 6.7
DNK 8.1
EST 0
ESP 0
FIN 0
FOI 0
FRA 0.5
GBR 8.4
GRE 0
IRL 0
ISL 0
LTU 0
LVA 0
NLD 67.8
NOR 0.1
POL 0
POR 0
RUS 0
SWE 0
