Country Percent
BEL 0
DEU 9.9
DNK 6.5
EST 0
ESP 0
FIN 0
FOI 0
FRA 16.3
GBR 16.3
GRE 0
IRL 0
ISL 0
LTU 0
LVA 0
NLD 0.2
NOR 49.8
POL 0
POR 0
RUS 0
SWE 1
