stock  init_weight_per_szgroup
0 0.0001753156
0 0.004733522
0 0.02191445
0 0.06013326
0 0.1278051
0 0.2333451
0 0.3851684
0 0.5916902
0 0.8613257
0 1.20249
0 1.623598
0 2.133065
0 2.739307
0 3.450737
1 0.0001462341
1 0.003978365
1 0.01848339
1 0.05083631
1 0.1082332
1 0.1978848
1 0.327013
1 0.502849
1 0.7326316
1 1.023606
1 1.383025
1 1.818144
1 2.336224
1 2.944533
2 0.0001158071
2 0.003466957
2 0.01684025
2 0.04769454
2 0.1037915
2 0.1931098
2 0.3237994
2 0.5041522
2 0.7425817
2 1.047608
2 1.427847
2 1.892
2 2.448847
2 3.10724
3 0.0001498053
3 0.00389217
3 0.0177
3 0.0480002
3 0.1011245
3 0.1833397
3 0.3008634
3 0.459873
3 0.6665126
3 0.9268976
3 1.247118
3 1.633241
3 2.091315
3 2.627368
4 0.0001324958
4 0.003779391
4 0.01794984
4 0.05009
4 0.1078057
4 0.1988153
4 0.3309248
4 0.5120123
4 0.7500173
4 1.052932
4 1.428798
4 1.885697
4 2.431751
4 3.075116
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
5 0
6 0.00009444396
6 0.002906132
6 0.01429755
6 0.04083523
6 0.08942451
6 0.167216
6 0.2815552
6 0.4399495
6 0.6500464
6 0.9196163
6 1.25654
6 1.668796
6 2.164457
6 2.751679
7 0.0001051339
7 0.003654638
7 0.01902899
7 0.05641692
7 0.1270416
7 0.2429076
7 0.416658
7 0.6614812
7 0.9910436
7 1.419439
7 1.961151
7 2.631017
7 3.444205
7 4.416189
8 0.0001229066
8 0.004044089
8 0.02052578
8 0.05983934
8 0.1330657
8 0.2518859
8 0.4284646
8 0.6753754
8 1.005548
8 1.432226
8 1.96894
8 2.629478
8 3.42787
8 4.378364
9 0.0002372698
9 0.006103978
9 0.02763108
9 0.07470546
9 0.1570303
9 0.2841838
9 0.4656494
9 0.7108342
9 1.029081
9 1.429678
9 1.921865
9 2.514838
9 3.217757
9 4.039744
10 0.0001229066
10 0.004044089
10 0.02052578
10 0.05983934
10 0.1330657
10 0.2518859
10 0.4284646
10 0.6753754
10 1.005548
10 1.432226
10 1.96894
10 2.629478
10 3.42787
10 4.378364
11 0.0001010654
11 0.002986002
11 0.01441544
11 0.04066254
11 0.08822218
11 0.1637475
11 0.2740159
11 0.4259078
11 0.6263916
11 0.8825127
11 1.201385
11 1.590185
11 2.056144
11 2.606547
12 0.0002093131
12 0.004672215
12 0.01979907
12 0.05125304
12 0.1042916
12 0.18391
12 0.2949114
12 0.4419481
12 0.6295489
12 0.8621387
12 1.144053
12 1.479547
12 1.872808
12 2.32796
13 0.00008306781
13 0.002473206
13 0.0119826
13 0.03387978
13 0.07363561
13 0.1368657
13 0.2292999
13 0.3567621
13 0.5251574
13 0.7404618
13 1.008714
13 1.336011
13 1.7285
13 2.192378
14 0.00009857631
14 0.002717701
14 0.01270466
14 0.03508517
14 0.07492568
14 0.137321
14 0.227388
14 0.3502612
14 0.5110906
14 0.7150389
14 0.9672809
14 1.273001
14 1.637395
14 2.065664
