Country Percent
BEL 3.7
DEU 6.6
DNK 3.4
EST 0
ESP 0
FIN 0
FOI 0
FRA 3.9
GBR 3.9
GRE 0
IRL 0
ISL 0
LTU 0
LVA 0
NLD 78.4
NOR 0
POL 0
POR 0
RUS 0
SWE 0
