Country Percent
BEL 4
DEU 0
DNK 0
EST 0
ESP 0
FIN 0
FOI 0
FRA 18.9
GBR 2.8
GRE 0
IRL 0
ISL 0
LTU 0
LVA 0
NLD 74.3
NOR 0
POL 0
POR 0
RUS 0
SWE 0
