Country Percent
BEL 0
DEU 3.4
DNK 6.4
EST 0
ESP 0
FIN 0
FOI 4.5
FRA 2
GBR 31.1
GRE 0
IRL 7.2
ISL 0
LTU 0
LVA 0
NLD 4
NOR 39.5
POL 1.2
POR 0
RUS 0
SWE 0.8
