stock  init_proprecru_per_szgroup
0 0.3593
0 0.27465
0 0.2464
0 0.1105
0 0.0091
0 0.00005
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
1 0.00155
1 0.0317
1 0.13955
1 0.26545
1 0.277775
1 0.1882
1 0.0764
1 0.01775
1 0.00155
1 0.000075
1 0
1 0
1 0
1 0
2 0.00635
2 0.1193
2 0.34025
2 0.345425
2 0.156725
2 0.03035
2 0.0016
2 0
2 0
2 0
2 0
2 0
2 0
2 0
3 0
3 0
3 0.000025
3 0.0003
3 0.004775
3 0.0342
3 0.1289
3 0.286375
3 0.338325
3 0.178775
3 0.028125
3 0.0002
3 0
3 0
4 0
4 0.0004
4 0.003325
4 0.012375
4 0.0349
4 0.068925
4 0.1112
4 0.142725
4 0.161225
4 0.151375
4 0.128425
4 0.0933
4 0.05485
4 0.036975
5 0.250125
5 0.00105
5 0.01125
5 0.0498
5 0.096625
5 0.0811
5 0.06375
5 0.10085
5 0.116175
5 0.1224
5 0.092175
5 0.014475
5 0.000225
5 0
6 0.348725
6 0.294925
6 0.278675
6 0.076925
6 0.00075
6 0
6 0
6 0
6 0
6 0
6 0
6 0
6 0
6 0
7 0.455925
7 0.37605
7 0.162875
7 0.00515
7 0
7 0
7 0
7 0
7 0
7 0
7 0
7 0
7 0
7 0
8 0.0025
8 0.411225
8 0.573125
8 0.01315
8 0
8 0
8 0
8 0
8 0
8 0
8 0
8 0
8 0
8 0
9 0
9 0.00365
9 0.15895
9 0.61895
9 0.216675
9 0.001775
9 0
9 0
9 0
9 0
9 0
9 0
9 0
9 0
10 0.0021
10 0.412625
10 0.5721
10 0.013175
10 0
10 0
10 0
10 0
10 0
10 0
10 0
10 0
10 0
10 0
11 0.463125
11 0.374675
11 0.1574
11 0.0048
11 0
11 0
11 0
11 0
11 0
11 0
11 0
11 0
11 0
11 0
12 0.30835
12 0.145125
12 0.186075
12 0.18025
12 0.1294
12 0.046025
12 0.004725
12 0.00005
12 0
12 0
12 0
12 0
12 0
12 0
13 0
13 0
13 0
13 0.007125
13 0.51145
13 0.481425
13 0
13 0
13 0
13 0
13 0
13 0
13 0
13 0
14 0.000975
14 0.1085
14 0.607625
14 0.2821
14 0.0008
14 0
14 0
14 0
14 0
14 0
14 0
14 0
14 0
14 0
15 0.37895
15 0.330025
15 0.262825
15 0.028175
15 0.000025
15 0
15 0
15 0
15 0
15 0
15 0
15 0
15 0
15 0
16 0.373225
16 0.188825
16 0.189275
16 0.137525
16 0.0768
16 0.0273
16 0.0062
16 0.00075
16 0.000075
16 0.000025
16 0
16 0
16 0
16 0
17 0.279375
17 0.099875
17 0.159825
17 0.169025
17 0.167875
17 0.1
17 0.022725
17 0.0013
17 0
17 0
17 0
17 0
17 0
17 0
18 0.457375
18 0.371375
18 0.165675
18 0.005575
18 0
18 0
18 0
18 0
18 0
18 0
18 0
18 0
18 0
18 0
19 0.386825
19 0.3235
19 0.25065
19 0.03895
19 0.000075
19 0
19 0
19 0
19 0
19 0
19 0
19 0
19 0
19 0
20 0.384625
20 0.250725
20 0.224975
20 0.115725
20 0.022875
20 0.001075
20 0
20 0
20 0
20 0
20 0
20 0
20 0
20 0
21 0.39905
21 0.2533
21 0.209475
21 0.104275
21 0.03015
21 0.0036
21 0.00015
21 0
21 0
21 0
21 0
21 0
21 0
21 0
22 1
22 0
22 0
22 0
22 0
22 0
22 0
22 0
22 0
22 0
22 0
22 0
22 0
22 0
23 1
23 0
23 0
23 0
23 0
23 0
23 0
23 0
23 0
23 0
23 0
23 0
23 0
23 0
24 1
24 0
24 0
24 0
24 0
24 0
24 0
24 0
24 0
24 0
24 0
24 0
24 0
24 0
25 1
25 0
25 0
25 0
25 0
25 0
25 0
25 0
25 0
25 0
25 0
25 0
25 0
25 0
26 0.3779
26 0.36895
26 0.249125
26 0.004025
26 0
26 0
26 0
26 0
26 0
26 0
26 0
26 0
26 0
26 0
27 0.472925
27 0.340075
27 0.167175
27 0.01955
27 0.000275
27 0
27 0
27 0
27 0
27 0
27 0
27 0
27 0
27 0
28 0.472925
28 0.340575
28 0.166625
28 0.019675
28 0.0002
28 0
28 0
28 0
28 0
28 0
28 0
28 0
28 0
28 0
29 0.795875
29 0.201625
29 0.0025
29 0
29 0
29 0
29 0
29 0
29 0
29 0
29 0
29 0
29 0
29 0
30 0.000275
30 0.00765
30 0.0487
30 0.137625
30 0.21515
30 0.235625
30 0.1907
30 0.11035
30 0.043
30 0.009525
30 0.00135
30 0.00005
30 0
30 0
31 1
31 0
31 0
31 0
31 0
31 0
31 0
31 0
31 0
31 0
31 0
31 0
31 0
31 0
32 1
32 0
32 0
32 0
32 0
32 0
32 0
32 0
32 0
32 0
32 0
32 0
32 0
32 0
33 0.3297
33 0.320925
33 0.323225
33 0.02615
33 0
33 0
33 0
33 0
33 0
33 0
33 0
33 0
33 0
33 0
34 0
34 0.000175
34 0.0046
34 0.040775
34 0.1982
34 0.416925
34 0.321625
34 0.0177
34 0
34 0
34 0
34 0
34 0
34 0
35 0.00005
35 0.001475
35 0.011975
35 0.0668
35 0.19565
35 0.32985
35 0.303675
35 0.088175
35 0.00235
35 0
35 0
35 0
35 0
35 0.0000000000000001110223
36 0.603175
36 0.3949
36 0.001925
36 0
36 0
36 0
36 0
36 0
36 0
36 0
36 0
36 0
36 0
36 0
37 0.0235
37 0.9381
37 0.0384
37 0
37 0
37 0
37 0
37 0
37 0
37 0
37 0
37 0
37 0
37 0
38 0.805125
38 0.193075
38 0.0018
38 0
38 0
38 0
38 0
38 0
38 0
38 0
38 0
38 0
38 0
38 0
39 0.06935
39 0.59715
39 0.320025
39 0.013475
39 0
39 0
39 0
39 0
39 0
39 0
39 0
39 0
39 0
39 0
40 0.80825
40 0.190025
40 0.001725
40 0
40 0
40 0
40 0
40 0
40 0
40 0
40 0
40 0
40 0
40 0
41 0.000275
41 0.011575
41 0.07885
41 0.199425
41 0.293275
41 0.263525
41 0.12705
41 0.0248
41 0.0012
41 0.000025
41 0
41 0
41 0
41 0
42 0.417225
42 0.268625
42 0.205675
42 0.091325
42 0.01635
42 0.0008
42 0
42 0
42 0
42 0
42 0
42 0
42 0
42 0
43 0
43 0.0004
43 0.005825
43 0.042025
43 0.141725
43 0.274675
43 0.3164
43 0.191125
43 0.027725
43 0.0001
43 0
43 0
43 0
43 0
44 0.666025
44 0.317275
44 0.0167
44 0
44 0
44 0
44 0
44 0
44 0
44 0
44 0
44 0
44 0
44 0
