Country Percent
BEL 0
DEU 1.5
DNK 5.1
EST 12.4
ESP 0
FIN 16.7
FOI 0
FRA 0
GBR 0
GRE 0
IRL 0
ISL 0
LTU 2.9
LVA 12
NLD 0
NOR 0
POL 17
POR 0
RUS 8.6
SWE 23.7
