Country Percent
BEL 0
DEU 5
DNK 8.2
EST 9.1
ESP 0
FIN 5
FOI 0
FRA 0
GBR 0
GRE 0
IRL 0
ISL 0
LTU 5.7
LVA 18.5
NLD 0
NOR 0
POL 20.7
POR 0
RUS 11.2
SWE 16.7
